NCT_ID,Sponsor,Study_Name,Start_Date,End_Date,Current_Status,Facility,Lat,Lon,City,State,Zip,Country,Hover_City,Facility_dedupe,Dedupe_City
NCT03109756,Ovid Therapeutics Inc.,A Phase 1 Single Dose PK Study in Adolescent Subjects With Fragile X Syndrome or Angelman Syndrome,2017-04-06,2017-11-28,COMPLETED,Ovid Therapeutics Investigative Site,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Ovid Therapeutics Investigative Site,"Nashville, Tennessee, United States"
NCT02996305,Ovid Therapeutics Inc.,"A Phase 2 Adult and Adolescent Angelman Syndrome Clinical Trial: A Randomized, Double-Blind, Safety and Efficacy Study of Gaboxadol",2016-12-02,2018-08-06,COMPLETED,Ovid Therapeutics Investigative Site,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Ovid Therapeutics Investigative Site,"Nashville, Tennessee, United States"
NCT04507997,Boston Children's Hospital,Angelman Syndrome Natural History Study,2020-08-05,2025-08,RECRUITING,Monroe Carell Jr. Children's Hospital at Vanderbilt,36.16589,-86.78444,Nashville,Tennessee,37232,United States,"Nashville, Tennessee, United States",Monroe Carell Jr. Children's Hospital at Vanderbilt,"Nashville, Tennessee, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,Baylor College of Medicine,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Baylor College of Med; Texas Child Hosp; Pediactric Dept,"Houston, Texas, United States"
NCT05127226,"Ionis Pharmaceuticals, Inc.","HALOS: A Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Intrathecally Administered ION582 in Patients With Angelman Syndrome",2021-11-09,2029-03,ACTIVE_NOT_RECRUITING,Texas Children's Hospital,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Texas Children's Hospital,"Houston, Texas, United States"
NCT01906866,Neurim Pharmaceuticals Ltd.,"A Randomized, Placebo-controlled Study to Investigate the Efficacy and Safety of Circadin® to Alleviate Sleep Disturbances in Children With Neurodevelopmental Disabilities",2013-07-11,2018-03-27,COMPLETED,Red Oak Psychiatry Associates,29.76328,-95.36327,Houston,Texas,77090,United States,"Houston, Texas, United States",Red Oak Psychiatry Associates,"Houston, Texas, United States"
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,Baylor College of Med; Texas Child Hosp; Pediactric Dept,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Baylor College of Med; Texas Child Hosp; Pediactric Dept,"Houston, Texas, United States"
NCT00296764,Boston Children's Hospital,Angelman Syndrome Natural History Study,2006-02-24,2014-08,COMPLETED,Baylor College of Medicine,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Baylor College of Med; Texas Child Hosp; Pediactric Dept,"Houston, Texas, United States"
NCT01852708,"Natera, Inc.",Development of Non-invasive Prenatal Diagnostic Test for Microdeletion/Microduplication and Other Genetic Disorders Based on Fetal DNA Isolated From Maternal Blood,2013-05-06,2020-10,COMPLETED,Dr. Meltzer Clinic,29.76328,-95.36327,Houston,Texas,77054,United States,"Houston, Texas, United States",Dr. Meltzer Clinic,"Houston, Texas, United States"
NCT01281475,Boston Children's Hospital,A Phase 2 Randomized Placebo-Controlled Trial of Levodopa in Angelman Syndrome,2011-01-20,2015-07,COMPLETED,Baylor College of Medicine,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Baylor College of Med; Texas Child Hosp; Pediactric Dept,"Houston, Texas, United States"
NCT00348933,"University of California, San Diego",Efficacy of a Therapeutic Treatment Trial in Angelman Syndrome,2006-07-03,2010-02,COMPLETED,Baylor College of Medicine,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Baylor College of Med; Texas Child Hosp; Pediactric Dept,"Houston, Texas, United States"
NCT00004351,Office of Rare Diseases (ORD),Study of Phenotype and Genotype Correlations in Patients With Contiguous Gene Deletion Syndromes,1999-10-18,unknown,COMPLETED,Baylor College of Medicine,29.76328,-95.36327,Houston,Texas,77030,United States,"Houston, Texas, United States",Baylor College of Med; Texas Child Hosp; Pediactric Dept,"Houston, Texas, United States"
NCT04863794,Hoffmann-La Roche,"A Non-Randomized, Open-Label, Adaptive, Single Center, Positron Emission Tomography (Pet) Study To Assess Distribution Of RO7248824 In The Central Nervous System Following Single Intrathecal Doses Of [89zr] Labeled RO7248824 In Healthy Male Participants",2021-04-26,2022-08-01,COMPLETED,Pra International Group B.V,53.21917,6.56667,Groningen,,9728 NZ,Netherlands,"Groningen, Netherlands",Pra International Group B.V,"Groningen, Netherlands"
NCT01906866,Neurim Pharmaceuticals Ltd.,"A Randomized, Placebo-controlled Study to Investigate the Efficacy and Safety of Circadin® to Alleviate Sleep Disturbances in Children With Neurodevelopmental Disabilities",2013-07-11,2018-03-27,COMPLETED,University Medical Center Groningen,53.21917,6.56667,Groningen,,,Netherlands,"Groningen, Netherlands",University Medical Center Groningen,"Groningen, Netherlands"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,Clinical Trial Site,34.05223,-118.24368,Los Angeles,California,90048,United States,"Los Angeles, California, United States",Clinical Trial Site,"Los Angeles, California, United States"
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,"University of California, Los Angeles (UCLA)",34.05223,-118.24368,Los Angeles,California,90095,United States,"Los Angeles, California, United States","University of California, Los Angeles (UCLA)","Los Angeles, California, United States"
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,UCLA Medical Center,34.05223,-118.24368,Los Angeles,California,90095,United States,"Los Angeles, California, United States",UCLA Medical Center,"Los Angeles, California, United States"
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,UCLA Neuropsychiatric Institute,34.05223,-118.24368,Los Angeles,California,90024,United States,"Los Angeles, California, United States",UCLA Neuropsychiatric Institute,"Los Angeles, California, United States"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,Clinical Trial Site,37.77493,-122.41942,San Francisco,California,94143,United States,"San Francisco, California, United States",Clinical Trial Site,"San Francisco, California, United States"
NCT02381457,"Natera, Inc.",SNP-based Microdeletion and Aneuploidy RegisTry,2015-03-02,2020-06,COMPLETED,"University of California, San Francisco",37.77493,-122.41942,San Francisco,California,94121,United States,"San Francisco, California, United States","University of California, San Francisco","San Francisco, California, United States"
NCT01281475,Boston Children's Hospital,A Phase 2 Randomized Placebo-Controlled Trial of Levodopa in Angelman Syndrome,2011-01-20,2015-07,COMPLETED,"University of California, San Francisco",37.77493,-122.41942,San Francisco,California,94121,United States,"San Francisco, California, United States","University of California, San Francisco","San Francisco, California, United States"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,Clinical Trial Site,39.73915,-104.9847,Denver,Colorado,80045,United States,"Denver, Colorado, United States",Clinical Trial Site,"Denver, Colorado, United States"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,Clinical Trial Site,25.77427,-80.19366,Miami,Florida,33155,United States,"Miami, Florida, United States",Clinical Trial Site,"Miami, Florida, United States"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,Rare Disease Research,33.749,-84.38798,Atlanta,Georgia,30318,United States,"Atlanta, Georgia, United States","Rare Disease Research, LLC","Atlanta, Georgia, United States"
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,"Rare Disease Research, LLC",33.749,-84.38798,Atlanta,Georgia,30329,United States,"Atlanta, Georgia, United States","Rare Disease Research, LLC","Atlanta, Georgia, United States"
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,Rare Disease Research,33.749,-84.38798,Atlanta,Georgia,30318,United States,"Atlanta, Georgia, United States","Rare Disease Research, LLC","Atlanta, Georgia, United States"
NCT03882918,Ovid Therapeutics Inc.,"An Open-Label Study to Evaluate the Long-Term Safety, Tolerability, and Efficacy of OV101 in Individuals With Angelman Syndrome",2019-03-18,2021-06-30,TERMINATED,Ovid Therapeutics Investigative Site,33.749,-84.38798,Atlanta,Georgia,30322,United States,"Atlanta, Georgia, United States",Ovid Therapeutics Investigative Site,"Atlanta, Georgia, United States"
