NCT_ID,Sponsor,Study_Name,Start_Date,End_Date,Current_Status,Treatment,Facility,Lat,Lon
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Children's Hospital of Eastern Ontario,45.41117,-75.69812
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Children's Hospital of Eastern Ontario,45.41117,-75.69812
NCT06079736,PepGen Inc,"A Phase 2, Open-Label, Multiple Ascending Dose Study of PGN-EDO51 With a Long-Term Extension in Participants With Duchenne Muscular Dystrophy Amenable to Exon 51-Skipping Treatment (CONNECT1-EDO51)",2023-09-29,2027-11,RECRUITING,ASO,Children's Hospital of Eastern Ontario,45.41117,-75.69812
NCT04740476,"Stoke Therapeutics, Inc",An Open-Label Extension Study for Patients With Dravet Syndrome Who Previously Participated in Studies of STK-001,2021-02-02,2027-03-03,ENROLLING_BY_INVITATION,ASO,Children's Hospital of Philadelphia,39.95233,-75.16379
NCT04442295,"Stoke Therapeutics, Inc",An Open-Label Study to Investigate the Safety and Pharmacokinetics of Single and Multiple Ascending Doses of Antisense Oligonucleotide STK-001 in Children and Adolescents With Dravet Syndrome,2020-06-08,2024-04-03,COMPLETED,ASO,Children's Hospital of Philadelphia,39.95233,-75.16379
NCT02353351,Abbott Medical Devices,Closure of Atrial Septal Defects With the AMPLATZER™ Septal Occluder (ASO) Post Market Surveillance Study,2014-12-02,2017-02-24,TERMINATED,ASO,Children's Hospital of Philadelphia,39.95233,-75.16379
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,ASO,Children's Mercy Kansas City,39.09973,-94.57857
NCT03605069,Phoenicis Therapeutics,"A First in Human, Double-blind, Randomized, Intra-subject Placebo-controlled, Multiple Dose Study of QR-313 Evaluating Safety, Proof of Mechanism, Preliminary Efficacy and Systemic Exposure in Subjects With DDEB or RDEB Due to Mutation(s) in Exon 73 of the COL7A1 Gene",2018-06-25,2018-12-17,TERMINATED,ASO,Cincinnati Children's Hospital,39.12713,-84.51435
NCT02564354,ProQR Therapeutics,"Open-Label, Exploratory Study to Evaluate the Effects of QR-010 on Nasal Potential Difference in Subjects With CF With the ΔF508 CFTR Mutation",2015-09-29,2016-09,COMPLETED,ASO,Cincinnati Children's Hospital,39.12713,-84.51435
NCT03907072,Wave Life Sciences Ltd.,"A Randomized, Double-blind, Placebo-controlled, Efficacy and Safety Study of WVE-210201 With Open-label Extension in Ambulatory Patients With Duchenne Muscular Dystrophy (DYSTANCE 51)",2019-04-05,2020-01-09,TERMINATED,ASO,Kennedy Krieger Institute,39.29038,-76.61219
NCT04740476,"Stoke Therapeutics, Inc",An Open-Label Extension Study for Patients With Dravet Syndrome Who Previously Participated in Studies of STK-001,2021-02-02,2027-03-03,ENROLLING_BY_INVITATION,ASO,Mayo Clinic,44.02163,-92.4699
NCT06397001,Mayo Clinic,"An Open-label Single Center, Single Patient Study of an Experimental Antisense Oligonucleotide (ASO) Treatment in AA Amyloidosis",2024-04-30,2025-01,ACTIVE_NOT_RECRUITING,ASO,Mayo Clinic,44.02163,-92.4699
NCT01563302,"Ionis Pharmaceuticals, Inc.","A Phase 1/2 Study of ISIS 481464, an Antisense Oligonucleotide Inhibitor of STAT3, Administered to Patients With Advanced Cancers",2012-02-13,2016-03-23,COMPLETED,ASO,Mayo Clinic,44.02163,-92.4699
NCT04442295,"Stoke Therapeutics, Inc",An Open-Label Study to Investigate the Safety and Pharmacokinetics of Single and Multiple Ascending Doses of Antisense Oligonucleotide STK-001 in Children and Adolescents With Dravet Syndrome,2020-06-08,2024-04-03,COMPLETED,ASO,Mayo Clinic,44.02163,-92.4699
NCT04740476,"Stoke Therapeutics, Inc",An Open-Label Extension Study for Patients With Dravet Syndrome Who Previously Participated in Studies of STK-001,2021-02-02,2027-03-03,ENROLLING_BY_INVITATION,ASO,Nicklaus Children's Hospital,25.77427,-80.19366
NCT04442295,"Stoke Therapeutics, Inc",An Open-Label Study to Investigate the Safety and Pharmacokinetics of Single and Multiple Ascending Doses of Antisense Oligonucleotide STK-001 in Children and Adolescents With Dravet Syndrome,2020-06-08,2024-04-03,COMPLETED,ASO,Nicklaus Children's Hospital,25.77427,-80.19366
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Weill Cornell Medicine,40.71427,-74.00597
NCT04485949,Imvax,"A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Phase 2b Study to Assess the Safety and Efficacy of IGV-001, an Autologous Cell Immunotherapy With Antisense Oligonucleotide (IMV-001) Targeting IGF-1R, in Newly Diagnosed Patients With Glioblastoma",2020-07-22,2027-07,ACTIVE_NOT_RECRUITING,ASO,Weill Cornell Medicine,40.71427,-74.00597
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Weill Cornell Medicine,40.71427,-74.00597
NCT04050852,NYU Langone Health,Pulmonary Function Test Changes and Respiratory Muscle Strength Trends in Spinal Muscular Atrophy Patients Receiving Nusinersen Treatments,2019-08-07,2021-04-01,WITHDRAWN,ASO,NYU Langone Health,40.71427,-74.00597
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,ASO,Rady Children's Hospital,32.71533,-117.15726
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,ASO,Rady Children's Hospital,32.71533,-117.15726
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Rady Children's Hospital,32.71533,-117.15726
NCT06314490,"University of California, San Diego",Personalized Antisense Oligonucleotide Therapy for Rare Pediatric Genetic Disease: SCN2A,2024-03-01,2026-02-16,ACTIVE_NOT_RECRUITING,ASO,Rady Children's Hospital,32.71533,-117.15726
NCT02353351,Abbott Medical Devices,Closure of Atrial Septal Defects With the AMPLATZER™ Septal Occluder (ASO) Post Market Surveillance Study,2014-12-02,2017-02-24,TERMINATED,ASO,Rady Children's Hospital,32.71533,-117.15726
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Rush University Medical Center,41.85003,-87.65005
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,ASO,Rush University Medical Center,41.85003,-87.65005
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Rush University Medical Center,41.85003,-87.65005
NCT06079346,Mateon Therapeutics,A Randomized Phase 2b/Phase 3 Study of the TGF-β2 Targeting Antisense Oligonucleotide OT-101 in Combination With mFOLFIRINOX Compared With mFOLFIRINOX Alone in Patients With Advanced and Unresectable or Metastatic Pancreatic Cancer,2023-09-29,2027-06-01,RECRUITING,ASO,Baylor College of Medicine,29.76328,-95.36327
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,ASO,"Baylor College of Medicine, Texas Children's Hospital",29.76328,-95.36327
NCT04442295,"Stoke Therapeutics, Inc",An Open-Label Study to Investigate the Safety and Pharmacokinetics of Single and Multiple Ascending Doses of Antisense Oligonucleotide STK-001 in Children and Adolescents With Dravet Syndrome,2020-06-08,2024-04-03,COMPLETED,ASO,UCSF Benioff Children's Hospital,37.77493,-122.41942
NCT03225846,Wave Life Sciences Ltd.,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 1b/2a Study of WVE-120102 Administered Intrathecally in Patients With Huntington's Disease",2017-07-17,2021-05-10,TERMINATED,ASO,Vanderbilt University Medical Center,36.16589,-86.78444
NCT03761849,Hoffmann-La Roche,"A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Phase III Clinical Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG6042) in Patients With Manifest Huntington's Disease",2018-11-30,2022-03-24,COMPLETED,ASO,Vanderbilt University Medical Center,36.16589,-86.78444
NCT04539041,Novartis,"A Randomized, Participant, Investigator and Sponsor Blinded, Placebo-Controlled Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Multiple Ascending Doses of Intrathecally Administered NIO752 in Participants With Progressive Supranuclear Palsy",2020-08-25,2024-10-17,COMPLETED,ASO,Vanderbilt University Medical Center,36.16589,-86.78444
NCT05683860,Wave Life Sciences Ltd.,"A Multicenter, Open-label Extension (OLE) Study to Evaluate the Safety, Pharmacodynamics, and Clinical Effects of WVE-004 in Patients With C9orf72-associated Amyotrophic Lateral Sclerosis (ALS) and/or Frontotemporal Dementia (FTD)",2023-01-04,2023-06-30,TERMINATED,ASO,Erasmus MC,51.9225,4.47917
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Universitaetsklinikum Leipzig,51.33962,12.37129
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Universitaetsklinikum Leipzig,51.33962,12.37129
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Corporacio Sanitaria Parc Tauli - Hospital de Sabadell,41.54329,2.10942
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,ASO,Corporacio Sanitaria Parc Tauli,41.54329,2.10942
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Edmond and Lily Safra Children's Hospital,32.08227,34.81065
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Queensland Children's Hospital,-27.48034,153.02049
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Queensland Children's Hospital,-27.48034,153.02049
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Royal Children's Hospital,-37.814,144.96332
NCT05032196,Wave Life Sciences Ltd.,"A Multicenter, Randomized, Double-blind, Placebo Controlled, Phase 1b/2a Study of WVE-003 Administered Intrathecally in Patients With Huntington's Disease (SELECT-HD)",2021-08-18,2024-05-24,COMPLETED,ASO,Royal Children's Hospital,-37.814,144.96332
NCT03605069,Phoenicis Therapeutics,"A First in Human, Double-blind, Randomized, Intra-subject Placebo-controlled, Multiple Dose Study of QR-313 Evaluating Safety, Proof of Mechanism, Preliminary Efficacy and Systemic Exposure in Subjects With DDEB or RDEB Due to Mutation(s) in Exon 73 of the COL7A1 Gene",2018-06-25,2018-12-17,TERMINATED,ASO,HÃ´pital Necker-Enfants Malades APHP,48.85341,2.3488
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,HÃ´pital Necker-Enfants Malades APHP,48.85341,2.3488
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,HÃ´pital Necker-Enfants Malades APHP,48.85341,2.3488
NCT02532764,ProQR Therapeutics,"Phase 1b, Randomized, Double-blind, Placebo-controlled, Dose Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of QR-010 in Subjects With Homozygous ΔF508 Cystic Fibrosis",2015-08-13,2017-09-14,COMPLETED,ASO,HÃ´pital Necker-Enfants Malades APHP,48.85341,2.3488
NCT02564354,ProQR Therapeutics,"Open-Label, Exploratory Study to Evaluate the Effects of QR-010 on Nasal Potential Difference in Subjects With CF With the ΔF508 CFTR Mutation",2015-09-29,2016-09,COMPLETED,ASO,HÃ´pital Necker-Enfants Malades APHP,48.85341,2.3488
NCT04433520,Abbott Medical Devices,Amplatzer™Trevisio™Delivery System Post-Approval Study,2020-06-12,2025-10-15,ACTIVE_NOT_RECRUITING,ASO,HÃ´pital de la Timone,43.29551,5.38958
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,HÃ´pital de la Timone,43.29551,5.38958
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,HÃ´pital de la Timone,43.29551,5.38958
NCT03907072,Wave Life Sciences Ltd.,"A Randomized, Double-blind, Placebo-controlled, Efficacy and Safety Study of WVE-210201 With Open-label Extension in Ambulatory Patients With Duchenne Muscular Dystrophy (DYSTANCE 51)",2019-04-05,2020-01-09,TERMINATED,ASO,Les HÃ´pitaux Universitaires de Strasbourg,48.58392,7.74553
NCT05753462,Sqy Therapeutics,"Phase 1/2a, Monocentric, Open Label Study to Evaluate the Safety, PK and PD of SQY51 in Paediatric and Adult Patients With a Genetically Confirmed Diagnosis of Duchenne Muscular Dystrophy",2023-02-06,2025-02,RECRUITING,ASO,HÃ´pital Raymond PoincarÃ©,48.84226,2.18232
NCT03564561,Assistance Publique - Hôpitaux de Paris,Clinical and Molecular Aspects of Adult Onset Pompe Disease: a Natural History Study,2018-03-27,2033-03,RECRUITING,ASO,HÃ´pital Raymond PoincarÃ©,48.84226,2.18232
NCT03907072,Wave Life Sciences Ltd.,"A Randomized, Double-blind, Placebo-controlled, Efficacy and Safety Study of WVE-210201 With Open-label Extension in Ambulatory Patients With Duchenne Muscular Dystrophy (DYSTANCE 51)",2019-04-05,2020-01-09,TERMINATED,ASO,HÃ´pital des Enfants,43.60426,1.44367
NCT01346150,National Institute of Allergy and Infectious Diseases (NIAID),"A Retrospective and Cross-Sectional Analysis of Patients Treated for SCID Since January 1,1968 (RDCRN PIDTC-6902)",2011-04-29,2023-08,UNKNOWN,gene_therapy,BC Children's Hospital,49.24966,-123.11934
NCT01186913,National Institute of Allergy and Infectious Diseases (NIAID),"A Prospective Natural History Study of Diagnosis, Treatment and Outcomes of Children With SCID Disorders (RDCRN PIDTC-6901)",2010-08-20,2028-09,ENROLLING_BY_INVITATION,gene_therapy,BC Children's Hospital,49.24966,-123.11934
NCT06063850,UniQure Biopharma B.V.,"A Multi-center, Phase 1/2a, First-in-human (FIH) Study Investigating the Safety, Tolerability, and Efficacy of AMT-260 in Adults with Unilateral Refractory Mesial Temporal Lobe Epilepsy (MTLE) Administered Via Magnetic Resonance Imaging (MRI)-Guided Convection-enhanced Delivery (CED)",2023-09-01,2027-06-30,RECRUITING,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT06275620,Beacon Therapeutics,"A Phase 1/2 Open-Label Dose Escalation Study to Evaluate the Safety and Efficacy of AGTC-501 (rAAV2tYF-GRK1-RPGR) and a Phase 2 Randomized, Controlled, Masked, Multi-center Study Comparing Two Doses of AGTC-501 in Male Participants With X-linked Retinitis Pigmentosa",2024-02-16,2029-12,ENROLLING_BY_INVITATION,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT05386680,Novartis,"Phase IIIb, Open-label, Single-arm, Multi-center Study to Evaluate the Safety, Tolerability and Efficacy of OAV101 Administered Intrathecally (1.2 x 10^14 Vector Genomes) to Participants 2 to < 18 Years of Age With Spinal Muscular Atrophy (SMA) Who Have Discontinued Treatment With Nusinersen (Spinraza®) or Risdiplam (Evrysdi®)",2022-05-18,2024-11-29,COMPLETED,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT05898620,Neurogene Inc.,"A Phase 1/2, Open-Label Clinical Study to Evaluate Safety, Tolerability, and Efficacy of NGN-401 in Pediatric Subjects with Rett Syndrome",2023-06-01,2029-10,RECRUITING,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT04680065,"Brain Neurotherapy Bio, Inc.","Randomized, Double-Blind, Placebo-controlled Safety Study of Glial Cell Line-Derived Neurotrophic Factor Gene Transfer (AAV2-GDNF) in Multiple System Atrophy",2020-12-15,2028-12,RECRUITING,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT01301573,"Neurologix, Inc.",Long Term Follow-Up Study for rAAV-GAD Treated Subjects,2011-02-18,unknown,TERMINATED,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT05145062,Sangamo Therapeutics,An Observational Long-term Safety and Efficacy Follow-up Study After Ex-vivo Gene Therapy With BIVV003 in Participants With Severe Sickle Cell Disease (SCD) or With ST-400 in Participants With Transfusion-dependent Beta-thalassemia (TDT) With Autologous Hematopoietic Stem Cell Transplant,2021-11-22,2038-07-14,ENROLLING_BY_INVITATION,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT05699460,AskBio Inc,A Pre-Gene Therapy Study of Early Parkinson's or Multiple System Atrophy Progression by Longitudinal Clinical and Biomarker Assessments,2022-10-13,2025-10,ACTIVE_NOT_RECRUITING,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT03432520,"Spark Therapeutics, Inc.",A Multi-Center Evaluation of the Long-Term Safety and Efficacy of Spark-sponsored Gene Therapies in Males With Hemophilia A,2018-01-24,2032-12,ACTIVE_NOT_RECRUITING,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT01410825,Boston Children's Hospital,Pilot and Feasibility Study of Hematopoietic Stem Cell Gene Transfer for the Wiskott-Aldrich Syndrome,2011-08-04,2024-08,ACTIVE_NOT_RECRUITING,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT05248230,4D Molecular Therapeutics,"An Open-label, Phase 1/2 Trial of Gene Therapy 4D-710 in Adults with Cystic Fibrosis",2022-02-10,2030-01,RECRUITING,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT05248230,4D Molecular Therapeutics,"An Open-label, Phase 1/2 Trial of Gene Therapy 4D-710 in Adults with Cystic Fibrosis",2022-02-10,2030-01,RECRUITING,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT01952730,Massachusetts General Hospital,"A Pilot Safety Study of Vaccination With Autologous, Lethally Irradiated Colorectal Cancer Cells Engineered by Adenoviral Mediated Gene Transfer to Secrete Human Granulocyte-Macrophage Stimulating Factor",2013-04-26,2020-02,TERMINATED,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT04166526,Boston Children's Hospital,A Pilot Study on Neuroimaging in SCD: Part of The Boston Consortium to Cure Sickle Cell Disease,2019-10-15,2026-08-01,RECRUITING,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT00438867,Cardium Therapeutics,"A Randomized, Double Blind, Placebo Controlled, Parallel Group, Multicenter Study to Evaluate the Efficacy and Safety of Ad5FGF-4 in Female Patients With Stable Angina Pectoris Who Are Not Candidates for Revascularization",2007-02-21,unknown,UNKNOWN,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT01129544,Boston Children's Hospital,Multi-site Phase I/II Trial Evaluating the Treatment of SCID-X1 Patients With Retrovirus-mediated Gene Transfer,2010-05-21,2023-03,COMPLETED,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT03381729,Novartis,"Phase I, Open-Label, Dose Comparison Study of AVXS-101 for Sitting But Non-ambulatory Patients With Spinal Muscular Atrophy",2017-12-13,2021-11-18,TERMINATED,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
NCT05660369,Massachusetts General Hospital,INCIPIENT: INtraventricular CARv3-TEAM-E T Cells for PatIENTs With GBM,2022-12-13,2026-06-01,RECRUITING,gene_therapy,Massachusetts General Hospital,42.35843,-71.05977
NCT02991144,Ultragenyx Pharmaceutical Inc,"A Phase 1/2, Open-Label Safety and Dose-Finding Study of Adeno-Associated Virus (AAV) Serotype 8 (AAV8)-Mediated Gene Transfer of Human Ornithine Transcarbamylase (OTC) in Adults With Late-Onset OTC Deficiency",2016-12-09,2021-12-16,COMPLETED,gene_therapy,Boston Children's Hospital,42.35843,-71.05977
