,pmid,journal,journal_abbrv,pub_year,institution
71,38808315,Therapeutic advances in rare disease,Ther Adv Rare Dis,2024,"RTI International, 3040 E. Cornwallis Road, Research Triangle Park, NC 27709-2194, USA."
72,38798158,Journal of animal science,J Anim Sci,2024,"Dipartimento di Agraria, Università degli Studi di Sassari, Sassari 07100, Italy."
73,38767816,Journal of autism and developmental disorders,J Autism Dev Disord,2024,"Irish Centre for Autism and Neurodevelopmental Research, School of Psychology, University of Galway, Galway, Ireland."
74,38746146,bioRxiv : the preprint server for biology,bioRxiv,2024,"Department of Biology, Boston University, 5 Cummington Mall, Boston, MA 02215, USA."
75,38743304,Journal of patient-reported outcomes,J Patient Rep Outcomes,2024,"Center for Health Measurement, Department of Population Health Sciences, Duke University School of Medicine, Durham, NC, USA. chendan@udel.edu."
76,38690755,Annals of human genetics,Ann Hum Genet,2024,"Department of Clinical Genetics, Odense University Hospital, Odense, Denmark."
77,38674386,Genes,Genes (Basel),2024,"Department of Psychiatry and Behavioral Sciences, University of Minnesota Medical School, Minneapolis, MN 55455, USA."
78,38670961,Nature communications,Nat Commun,2024,"State Key Laboratory of Drug Research, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China."
79,38657964,American journal on intellectual and developmental disabilities,Am J Intellect Dev Disabil,2024,"Sara M. Andrews, RTI International."
80,38637764,Journal of neurodevelopmental disorders,J Neurodev Disord,2024,"School of Psychology, University of Birmingham, Birmingham, UK. rxo165@student.bham.ac.uk."
81,38616334,Brain and behavior,Brain Behav,2024,"Genetics and Genomic Medicine Centre (GGMC), NeuroGen Healthcare, Dhaka, Bangladesh."
82,38610036,Orphanet journal of rare diseases,Orphanet J Rare Dis,2024,"Department of Pediatrics, Peking University People's Hospital, Beijing, China."
83,38586056,bioRxiv : the preprint server for biology,bioRxiv,2024,
84,38580983,Orphanet journal of rare diseases,Orphanet J Rare Dis,2024,"Department of Medical Genetics, College of Basic Medical Science, Army Medical University (Third Military Medical University), Chongqing, China."
85,38573110,Chembiochem : a European journal of chemical biology,Chembiochem,2024,"Department of Biology, Konstanz Research School Chemical Biology, University of Konstanz, Universitätsstr. 10, 78457, Konstanz, Germany."
86,38570483,Cell death discovery,Cell Death Discov,2024,"Department of Physiological Sciences, University of Barcelona (UB), Bellvitge Biomedical Research Institute (IDIBELL), L'Hospitalet de Llobregat, Spain."
87,38520260,Congenital anomalies,Congenit Anom (Kyoto),2024,"Indiana University School of Medicine, Indianapolis, Indiana, USA."
88,38508482,Experimental neurology,Exp Neurol,2024,"Department of Biology, Boston University, 5 Cummington Mall, Boston, MA 02215, United States of America."
89,38479041,Sleep medicine,Sleep Med,2024,"Irish Centre for Autism and Neurodevelopmental Research, School of Psychology, National University of Ireland, Galway, Ireland."
90,38461876,Fish & shellfish immunology,Fish Shellfish Immunol,2024,"Hebei Key Laboratory of the Bohai Sea Fish Germplasm Resources Conservation and Utilization, Beidaihe Central Experiment Station, Chinese Academy of Fishery Sciences, Qinhuangdao, 066100, China; Ocean College, Hebei Agricultural University, Qinhuangdao, 066009, China; Bohai Sea Fishery Research Center, Chinese Academy of Fishery Sciences, Qinhuangdao, 066100, China."
91,38429713,Journal of neurodevelopmental disorders,J Neurodev Disord,2024,"ENCORE Expertise Centre for Neurodevelopmental Disorders, Erasmus MC, Rotterdam, The Netherlands. d.hagenaar@erasmusmc.nl."
92,38423246,Cancer letters,Cancer Lett,2024,"Department of Urology, Jinshan Hospital, Fudan University, 201508, Shanghai, China."
93,38418456,Nature communications,Nat Commun,2024,"Calico Life Sciences LLC, 1170 Veterans Blvd, South San Francisco, CA, 94080, USA."
94,38370819,bioRxiv : the preprint server for biology,bioRxiv,2024,
95,38369498,Molecular cytogenetics,Mol Cytogenet,2024,"Department of Obstetrics, Zhongnan Hospital of Wuhan University, Wuhan, 430071, China."
96,38347515,BMC bioinformatics,BMC Bioinformatics,2024,"Mayo Clinic, Rochester, MN, USA."
97,38343438,Frontiers in immunology,Front Immunol,2023,"Department of Infectious Disease and Hepatic Disease, The First People's Hospital of Yunnan Province, The Affiliated Hospital of Kunming University of Science and Technology, Kunming, Yunnan, China."
98,38328757,Frontiers in neurology,Front Neurol,2023,"Chair and Department of Medical Genetics, Poznan University of Medical Sciences, Poznań, Poland."
99,38327047,Molecular therapy : the journal of the American Society of Gene Therapy,Mol Ther,2024,"Department of Surgery, University of California San Francisco, San Francisco, California, USA; The Eli and Edythe Broad Center of Regeneration Medicine and Stem Cell Research, San Francisco, California, USA; Center for Maternal-Fetal Precision Medicine, University of California San Francisco, San Francisco, California, USA."
100,38322471,World journal of clinical cases,World J Clin Cases,2024,"Laboratory of Human Cytogenetics, Molecular Genetics and Reproductive Biology, Farhat Hached University Hospital, Sousse 4000, Tunisia."
101,38316900,EMBO reports,EMBO Rep,2024,"Department of Biology, Boston University, 5 Cummington Mall, Boston, MA, 02215, USA."
102,38298296,Cureus,Cureus,2024,"Pediatrics, Centro Hospitalar Universitário do Algarve - Unidade de Faro, Faro, PRT."
103,38248358,"Diseases (Basel, Switzerland)",Diseases,2023,"Life Science Centre, Department of Biological Sciences, Rutgers University-Newark, Newark, NJ 07102, USA."
104,38217951,Epilepsy research,Epilepsy Res,2024,"Department of Psychological Sciences, Purdue University, West Lafayette, IN, USA. Electronic address: pfitz1940@gmail.com."
105,38187043,American journal of cancer research,Am J Cancer Res,2023,"Department of Dermatology, Shanghai Eighth People's Hospital Shanghai, China."
106,38170291,European journal of pediatrics,Eur J Pediatr,2024,"Department of Endocrinology, Genetics and Metabolism, Fuzhou Children's Hospital of Fujian Medical University, Fuzhou, 350000, China."
107,38167844,Scientific reports,Sci Rep,2024,"Department of Animal Science and Aquaculture, Dalhousie University, Truro, NS, Canada."
108,38136660,Biomolecules,Biomolecules,2023,"Life Sciences Institute, University of Michigan, Ann Arbor, MI 48109, USA."
109,38111102,Developmental medicine and child neurology,Dev Med Child Neurol,2024,"Discipline of Genetic Counselling, University of Technology Sydney, Ultimo, NSW, Australia."
110,38101713,Gene,Gene,2024,"School of Bioscience, Indian Institute of Technology, Kharagpur 721302, India."
111,38009976,Journal of intellectual disability research : JIDR,J Intellect Disabil Res,2024,"ENCORE Expertise Centre for Neurodevelopmental Disorders, Erasmus MC, Rotterdam, The Netherlands."
112,38006466,Japanese journal of ophthalmology,Jpn J Ophthalmol,2024,"Department of Ophthalmology, Gifu Prefectural General Medical Center, 4-6-1 Noisshiki, Gifu City, Gifu Prefecture, 500-8717, Japan. yagasakiayaka@gmail.com."
113,38001870,"Antioxidants (Basel, Switzerland)",Antioxidants (Basel),2023,"Pôle Hospitalo-Universitaire de Psychiatrie de l'Enfant et de l'Adolescent (PHUPEA), Centre Hospitalier Guillaume Regnier, 154 rue de Châtillon, 35000 Rennes, France."
114,37994169,Journal of neurochemistry,J Neurochem,2023,"Graduate Institute of Brain and Mind Sciences, College of Medicine, National Taiwan University, Taipei, Taiwan."
115,37989651,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,Eur J Paediatr Neurol,2023,"Université Libre de Bruxelles (ULB), Faculty of Psychology, Educational Sciences and Speech and Language Therapy, CP-122, Brussels, Belgium. Electronic address: bernard.dan@ulb.be."
116,37936142,Journal of neurodevelopmental disorders,J Neurodev Disord,2023,"Genomics, Ethics, and Translational Research Program, RTI International, 3040 W. Cornwallis Rd, Research Triangle Park, NC, 27709, USA. acwheeler@rti.org."
117,37929955,Journal of visualized experiments : JoVE,J Vis Exp,2023,"Czech Centre for Phenogenomics, Institute of Molecular Genetics of the Czech Academy of Sciences."
118,37928900,Frontiers in cell and developmental biology,Front Cell Dev Biol,2023,"iBB-Institute for Bioengineering and Biosciences, Department of Bioengineering, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal."
119,37927744,Cureus,Cureus,2023,"Laboratory of Biomedical and Translational Research, Faculty of Medicine and Pharmacy and Dental Medicine, Sidi Mohamed Ben Abdellah University, Fez, MAR."
120,37904289,FEBS letters,FEBS Lett,2024,"Department of Molecular Biology, Cell Biology and Biochemistry, Brown University, Providence, RI, USA."
121,37903805,Scientific reports,Sci Rep,2023,"College of Dental Medicine, Western University of Health Sciences, Pomona, CA, 91766, USA."
122,37901860,Molecular syndromology,Mol Syndromol,2023,"West Midlands Clinical Genetics Unit, Birmingham Women's and Children's NHS Foundation Trust, Birmingham, UK."
123,37901779,Epilepsy currents,Epilepsy Curr,2023,"Neurology and Neurological Sciences, Stanford University School of Medicine."
124,37886536,medRxiv : the preprint server for health sciences,medRxiv,2023,"Institute of Biological Psychiatry, Mental Health Services, Copenhagen University Hospital, DK-4000 Roskilde, Denmark."
125,37878632,PloS one,PLoS One,2023,"Department of Child Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia."
126,37875276,American journal on intellectual and developmental disabilities,Am J Intellect Dev Disabil,2023,"Lisa R. Hamrick, Amanda Seidl, and Bridgette L. Kelleher, Purdue University."
127,37858180,Orphanet journal of rare diseases,Orphanet J Rare Dis,2023,"Office of eResearch, Queensland University of Technology, Brisbane, QLD, 4000, Australia. m.tones@qut.edu.au."
128,37844556,Hormone research in paediatrics,Horm Res Paediatr,2024,"Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv, Israel."
129,37842098,Epilepsy & behavior reports,Epilepsy Behav Rep,2023,"Department of Biology, Utah Valley University, Orem, UT, USA."
130,37831301,European journal of pediatrics,Eur J Pediatr,2024,"Dept. of Pediatrics, Erasmus MC Sophia Children's Hospital, Dr. Molewaterplein 40, 3015 GD, Rotterdam, The Netherlands. g.c.b.deheus@erasmusmc.nl."
131,37830270,American journal of biological anthropology,Am J Biol Anthropol,2024,"Department of Neuroscience and Rehabilitation, University of Ferrara, Ferrara, Italy."
132,37762921,Journal of clinical medicine,J Clin Med,2023,"Department of Pediatrics, Erasmus MC Sophia Children's Hospital, University Medical Center Rotterdam, 3015 GD Rotterdam, The Netherlands."
133,37761423,"Children (Basel, Switzerland)",Children (Basel),2023,"Department of Paediatrics, MDUK Oxford Neuromuscular Centre & NIHR Oxford Biomedical Research Centre, University of Oxford, Oxford OX1 2JD, UK."
134,37757661,Pediatric neurology,Pediatr Neurol,2023,"Section of Neurology, Department of Pediatrics, Drexel University College of Medicine, St. Christopher's Hospital for Children, Philadelphia, Pennsylvania."
135,37712490,Epileptic disorders : international epilepsy journal with videotape,Epileptic Disord,2023,"Department of Neurology, National Children's Medical Center, Children's Hospital of Fudan University, Shanghai, China."
136,37708280,"Science (New York, N.Y.)",Science,2023,"Department of Biological Sciences, Graduate School of Science, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan."
137,37694858,Human molecular genetics,Hum Mol Genet,2023,"Department of Biochemistry and Microbiology, University of Victoria, 3800 Finnerty Rd, Victoria, BC V8W 2Y2, Canada."
138,37693591,bioRxiv : the preprint server for biology,bioRxiv,2023,"Department of Genetics and Genome Sciences, UConn Health; Farmington, CT, USA."
139,37688937,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,Eur J Paediatr Neurol,2023,"Yale University Child Study Center, New Haven, CT, USA; Cogstate, New Haven, CT, USA. Electronic address: pventola@cogstate.com."
140,37639777,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,Eur J Paediatr Neurol,2023,"Massachusetts General Hospital, Boston, MA, USA. Electronic address: ckeary@mgh.harvard.edu."
141,37609345,bioRxiv : the preprint server for biology,bioRxiv,2023,"Department of Molecular Biology, Cell Biology and Biochemistry."
142,37599585,Expert review of neurotherapeutics,Expert Rev Neurother,2023,"Department is department of psychiatry, Massachusetts General Hospital, Boston, MA, USA."
143,37592732,Behavioral sleep medicine,Behav Sleep Med,2024,"Te Kaupeka Oranga, Faculty of Health, University of Canterbury, Te Whare Wānanga O Waitaha, Christchurch, New Zealand."
144,37581718,Journal of autism and developmental disorders,J Autism Dev Disord,2024,"RTI International, Research Triangle Park, NC, USA."
145,37574611,Sleep medicine,Sleep Med,2023,"Department of Pediatrics, Section of Genetics and Metabolism, University of Colorado, Anschutz Medical Campus, 13123 E 16th Ave, Aurora, CO, 80045, USA."
146,37541588,Virus research,Virus Res,2023,"Department of Microbiology, Immunology and Genetics, School of Biomedical Sciences, University of North Texas Health Science Center, Fort Worth, TX 76107, United States. Electronic address: pankaj.chaudhary@unthsc.edu."
147,37536482,Progress in neurobiology,Prog Neurobiol,2023,"Department of Molecular Biology, Cell Biology and Biochemistry, Brown University, Providence, RI 02912, United States. Electronic address: Kara_Lau@alumni.brown.edu."
148,37495977,Journal of neurodevelopmental disorders,J Neurodev Disord,2023,"F. Hoffmann-La Roche Ltd, Grenzacherstrasse 124, 4070, Basel, Switzerland. jorrit.tjeertes@roche.com."
149,37461494,Research square,Res Sq,2023,University of Tennessee Health Science Center.
150,37461021,BMC endocrine disorders,BMC Endocr Disord,2023,"Reproductive Medical Center, Hainan Women and Children's Medical Center, No.75 Longkun South Road, Haikou, Hainan, 570206, China."
151,37460074,International journal of biological macromolecules,Int J Biol Macromol,2023,"Research Center of Clinical Medicine, Affiliated Hospital of Nantong University, Medical School of Nantong University, Nantong 226001, China; Department of Oncology, Affiliated Hospital of Nantong University, Medical School of Nantong University, Nantong 226001, China."
152,37454373,FEBS open bio,FEBS Open Bio,2023,"Department of Pain, Wenzhou Key Laboratory of Perioperative Medicine, The First Affiliated Hospital of Wenzhou Medical University, China."
153,37392820,Neuropharmacology,Neuropharmacology,2023,"IRCCS Neuromed, Pozzilli, Italy."
154,37389991,Cell reports,Cell Rep,2023,"UNC Neuroscience Center, The University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA."
155,37386011,Nature reviews. Disease primers,Nat Rev Dis Primers,2023,"Institute for Human Genetics and Genomic Medicine, Medical Faculty, RWTH Aachen University, Aachen, Germany. teggermann@ukaachen.de."
156,37385985,Cell death discovery,Cell Death Discov,2023,"Department of Medical Oncology, Harbin Medical University Cancer Hospital, 150081, Harbin, Heilongjiang, China."
157,37385816,Zhonghua er ke za zhi = Chinese journal of pediatrics,Zhonghua Er Ke Za Zhi,2023,"Division of Neurology, Children's Hospital of Fudan University, National Children's Medical Center, Shanghai 201102, China."
158,37359129,Neural processing letters,Neural Process Lett,2023,"Department of Computer Science and Engineering, Anna University, Chennai, India."
159,37358667,Journal of cancer research and clinical oncology,J Cancer Res Clin Oncol,2023,"Department of Cell Biology and Medical Genetics, Molecular Medicine and Cancer Research Center, Chongqing Medical University, Chongqing, 400016, China."
160,37349793,Orphanet journal of rare diseases,Orphanet J Rare Dis,2023,"Roche Products Ltd., Welwyn Garden City, AL7 1TW, UK. siobhan.connor-ahmad@roche.com."
161,37342752,Cureus,Cureus,2023,"Pediatrics, University of the Incarnate Word School of Osteopathic Medicine, San Antonio, USA."
162,37329181,Epilepsia,Epilepsia,2023,"Department of Neuroscience, School of Medicine, University of Connecticut, Farmington, Connecticut, USA."
163,37316106,Biological psychiatry,Biol Psychiatry,2023,"Department of Neurobiology, University of Alabama at Birmingham Heersink School of Medicine, Birmingham, Alabama. Electronic address: kac3@uab.edu."
164,37304763,Frontiers in behavioral neuroscience,Front Behav Neurosci,2023,"Department of Neurosciences, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Malaysia."
165,37264615,Journal of child neurology,J Child Neurol,2023,"Department of Pediatrics, Division of Neurology, University of Texas Southwestern Medical Center, Dallas, TX, USA."
166,37246475,Paediatric anaesthesia,Paediatr Anaesth,2023,"Department of Anesthesiology and Perioperative Medicine, University of Missouri School of Medicine, Columbia, Missouri, USA."
167,37229200,Frontiers in genetics,Front Genet,2023,"The First School of Clinical Medicine, Southern Medical University, Guangzhou, China."
168,37211997,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,2023,"Center of Prenatal Diagnosis, Chenzhou Hospital Affiliated to Hengyang Medical School, University of South China, Hengyang, Hunan 421001, China. zhhqsunny@sina.com."
169,37200906,Frontiers in psychiatry,Front Psychiatry,2023,"Department of Psychology, Army Medical University, Chongqing, China."
170,37191839,Journal of cell communication and signaling,J Cell Commun Signal,2023,"Department of Obstetrics and Gynecology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, No. 324, Jingwuwei Seven Road, Jinan, 250021, Shandong, People's Republic of China."
